Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","226","Equatorial Guinea","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.751","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","233","Estonia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.29","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","748","Eswatini","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.537","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","231","Ethiopia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.706","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","242","Fiji","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.358","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","246","Finland","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.716","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","250","France","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.254","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","266","Gabon","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.704","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","270","Gambia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.324","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","276","Germany","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.082","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","288","Ghana","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.237","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","300","Greece","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.174","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","308","Grenada","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","6.097","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","324","Guinea","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.443","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","624","Guinea-Bissau","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.694","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","328","Guyana","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","5.117","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","332","Haiti","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.814","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","340","Honduras","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.595","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","348","Hungary","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.418","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","352","Iceland","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.416","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","356","India","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.066","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","360","Indonesia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.729","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","364","Iran (Islamic Republic of)","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.167","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","368","Iraq","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.665","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","372","Ireland","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.15","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","376","Israel","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.524","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","380","Italy","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.168","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","388","Jamaica","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","7.033","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","392","Japan","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","5.638","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","400","Jordan","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.737","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","398","Kazakhstan","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.852","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","404","Kenya","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.189","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","414","Kuwait","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.997","E","Estimated value"
